name,slug,ranking
Bored Ape Yacht Club,bored-ape-yacht-club,1
CryptoPunks,cryptopunks,2
Mutant Ape Yacht Club,mutant-ape-yacht-club,3
Otherdeed for Otherside,otherdeed,4
Azuki,azuki,5
Autoglyphs,autoglyphs,6
DeGods,degods,7
The Sandbox,the_sandbox,8
Chromie Squiggle - Art Blocks,chromie-squiggle-art-blocks-curated,9
The Captainz,thecaptainz,10
Fidenza - Art Blocks,fidenza-art-blocks-curated,11
Decentraland,Decentraland,12
Bored Ape Kennel Club,bored-ape-kennel-club,13
Clone X,clonex,14
Meebits,meebits,15
Pudgy Penguins,pudgy-penguins,16
Ringers - Art Blocks,ringers-art-blocks-curated,17
VeeFriends,veefriends,18
Moonbirds,proof-moonbirds,19
The Potatoz,the-potatoz,20
BEANZ Official,beanz-official,21
Doodles,doodles,22
Damien Hirst - The Currency,damien-hirst-the-currency,23
YOU THE REAL MVP,youtherealmvp,24
The HV-MTL (Heavy Metal),hv-mtl-nft,25
y00ts,y00ts,26
Creepz Genesis,creepz-genesis,27
Euler Beats Genesis,eulerbeats-genesis-original,28
Live Like A Cat -neko no youni ikiru-,live-like-a-cat-nekonoyouniikiru,29
Gazers - Art Blocks Curated,gazers,30
Nouns,nouns,31
Milady Maker,milady,32
CryptoNinja Partners,cryptoninja-partners,33
NFT Worlds,nft-worlds,34
Space Doodles,space-doodles,35
Terraforms,terraforms-by-mathcastles,36
Trump Digital Trading Cards,trump-nft-digital-trading-cards,37
OnChainMonkey,onchainmonkey,38
Deafbeef Series 0 - 5,deafbeef,39
Adidas Originals - Into the Metaverse (1 and 2),adidas-originals-into-the-metaverse-phase-1-and-2,40
Nakamigos,nakamigos,41
FLUF World,fluf-world,42
Renga Black Box,renga-black-box,43
World of Women,world-of-women,44
CyberKongz,cyberkongz-genesis,45
PROOF Collective,proof-collective,46
Checks - VV Edition,checks-vv-edition,47
V1 CryptoPunks Wrapped,v1-cryptopunks-wrapped,48
Cool Cats,cool-cats,49
Kanpai Pandas,kanpai-pandas,50
KILLABEARS,killabears,51
Beeple Genesis Collection,beeple-genesis-collection,52
The Eternal Pump - Art Blocks Playground,the-eternal-pump,53
Beeple: Everydays - The 2020 Collection,beeple-everydays,54
DigiDaigaku,digidaigaku,55
Archetype - Art Blocks,archetype-art-blocks-curated,56
Mfers,mfers,57
Etheria,etheria,58
Invisible Friends,invisible-friends,59
VeeFriends Series 2,veefriends-series-2,60
ASM Aifa Genesis,asm-aifa-genesis,61
Neo Tokyo Identities,neo-tokyo-identities,62
Forgotten Runes Wizards Cult,forgotten-runes-wizards-cult,63
a KID called BEAST,a-kid-called-beast,64
Bored Ape Chemistry Club,bored_ape_chemistry_club,65
IO: Imaginary Ones,io-imaginary-ones,66
Opepen Edition,opepen-edition-nft,67
Meridian - Art Blocks Playground,meridian-art-blocks-playground,68
RTFKT - Animus Egg,rtfkt-egg-animus,69
Grifters by XCOPY,grifters-by-xcopy,70
The Singularity - Reddit,the-singularity,71
CryptoDickbutts,cryptodickbutts,72
Aww Friends - Reddit,aww-friends,73
Mocaverse,mocaverse,74
QQL Mint Pass,qql-mint-pass,75
Rektguy,rektguy,76
Murakami.Flowers Official,murakami-flowers,77
Lil Pudgys,lil-pudgys,78
Pixelmon Generation 1,pixelmon-generation-1,79
0N1 Force,0n1-force,80
Incomplete Control by Tyler Hobbs,incomplete-control-by-tyler-hobbs,81
Sappy Seals,sappy-seals,82
Friendship Bracelets - Art Blocks Explorations,friendship-bracelets-by-alexis-andre,83
Elevated Deconstructions - Art Blocks Curated,elevated-deconstructions-art-blocks-curated,84
Valhalla,valhalla,85
Genesis - Braindrops,genesis-braindrops,86
CyberKongz Babies,cyberkongz-babies,87
Beeple Spring Summer Collection 2021,beeple-spring-summer-collection,88
CyberBrokers,cyberbrokers,89
CrypToadz by Gremplin,cryptoadz,90
Renga,renga,91
Curio Cards,curio-cards,92
CyberKongz VX,cyberkongz-vx,93
The Memes by 6529,the-memes-by-6529,94
Memories of Qilin - Art Blocks Curated,memories-of-qilin-art-blocks-curated,95
Anticyclone - Art Blocks Curated,anticyclone-art-blocks-curated,96
Neo Tokyo Part 4: Land Deeds,neo-tokyo-part-4-land-deeds,97
Max Pain and Frens by Xcopy,max-pain-and-frens-by-xcopy,98
Dodgers MLB Crypto,dodgers-mlb-crypto,99
Wassies by Wassies,loomlocknft,100
